name,category,price,description,icon,status
Coffee (Black),Breakfast,400,,☕,available
Tea (with Milk & Sugar),Breakfast,400,,🫖,available
Waffle with Scrambled Egg,Breakfast,500,,🧇,available
Baked Stuffed Potatoes,Breakfast,500,,🥔,available
Breakfast Bagel,Breakfast,600,,🥯,available
Bagel with Cream Cheese,Breakfast,400,,🥯,available
Grilled Cheese Sandwich,Breakfast,800,,🧀,available
Shepherd's Pie,Breakfast,1200,,🥧,available
Chicken Tortilla,Breakfast,1200,,🌯,available
Baked Macaroni,Lunch,400,,🧀,available
Lasagna,Lunch,500,,🍝,available
Fish & Chips (Trout),Lunch,1500,,🐟,available
Fish & Chips (Snapper),Lunch,1800,,🐟,available
Linguini Pasta,Lunch,2000,,🍝,available
Loaded Fries,Lunch,1200,Fries topped with cheese and chicken breast.,🍟,available
Cream-Filled Bites,Sides,200,,🧁,available
Iced Donut,Sides,300,,🍩,available
Heart Cake,Sides,300,,🍰,available
Woolies,Sides,300,,🍪,available
Brownie,Sides,400,,🍫,available
Cheese Pizza (per slice),Sides,400,,🍕,available
Cream Pie,Sides,500,,🥧,available
Popcorn,Sides,600,,🍿,available
Potato Wedges,Sides,600,,🍟,available
Cinnamon Rolls,Sides,800,,🥐,available
Flan (per slice),Sides,1600,,🍮,available
Cheesecake (per slice),Sides,2500,,🍰,available
Country Milk,Beverages,800,,🥛,available
XL,Beverages,260,,🥤,available
Viva (355 ml),Beverages,140,,🧃,available
Viva (500 ml),Beverages,260,,🧃,available
Pepsi (400 ml),Beverages,160,,🥤,available
"Pepsi (can, 355 ml)",Beverages,260,,🥤,available
Pepsi (20 oz),Beverages,280,,🥤,available
"Fruta (can, 355 ml)",Beverages,280,,🧃,available
Lucozade Orange,Beverages,400,,🧃,available
Lucozade Tropical,Beverages,400,,🧃,available
Diamond Mineral Water (400 ml),Beverages,140,,💧,available
Blue Spring Water (500 ml),Beverages,140,,💧,available
Diamond Water (20 oz),Beverages,200,,💧,available
Diamond Sparkling Water (355 ml),Beverages,220,,💧,available
Diamond Water (5 gal),Beverages,960,,💧,available
Slushie,Beverages,500,,🍧,available
Coffee Classic (Hot or Cold),Frappé,800,,☕,available
Creamy Latte,Frappé,1200,,☕,available
Mocha Dream,Frappé,1200,,☕,available
Caramel Bliss,Frappé,1200,,🍮,available
Oreo Bliss,Frappé,1200,,🍪,available
Strawberry Dream,Milkshakes,1000,,🍓,available
Chocolate Dream,Milkshakes,1000,,🍫,available
Cookies & Cream,Milkshakes,1000,,🍪,available
Vanilla Classic,Milkshakes,1000,,🍦,available
Caramel Classic,Milkshakes,1000,,🍮,available
Soft Serve Waffle Cone,Ice Cream,700,Chocolate or Vanilla,🍦,available
